server,op,desc_len,n_params
ai-governance-mcp,check_scope,235,2
ai-governance-mcp,create_adr,211,5
ai-governance-mcp,find_consumers_of,166,1
ai-governance-mcp,find_dependencies_of,80,3
ai-governance-mcp,get_agent_guidelines,138,3
ai-governance-mcp,get_audit_log,242,6
ai-governance-mcp,get_contract_change_policy,66,4
ai-governance-mcp,get_fallback_policy,55,2
ai-governance-mcp,get_final_response_template,49,1
ai-governance-mcp,get_forbidden_actions,68,1
ai-governance-mcp,get_layer_policy,68,1
ai-governance-mcp,get_port_map,137,0
ai-governance-mcp,get_pre_execution_checklist,56,3
ai-governance-mcp,get_service_dependencies,171,1
ai-governance-mcp,get_service_metadata,150,1
ai-governance-mcp,get_service_ownership,201,1
ai-governance-mcp,get_suggestion,51,1
ai-governance-mcp,list_suggestions,111,6
ai-governance-mcp,query_ecosystem_graph,130,9
ai-governance-mcp,search_governance_knowledge,67,2
ai-governance-mcp,status,62,0
ai-governance-mcp,submit_suggestion,299,9
ai-governance-mcp,update_suggestion_status,197,4
ai-governance-mcp,validate_agent_decision,313,9
ai-governance-mcp,validate_lib_change,251,2
ai-governance-mcp,validate_migration,263,1
architecture-mcp,delete_architecture_blueprint,50,1
architecture-mcp,delete_artifact,34,1
architecture-mcp,delete_c4_diagram,39,1
architecture-mcp,delete_solution_blueprint,46,1
architecture-mcp,get_architecture_blueprint,43,1
architecture-mcp,get_artifact,27,1
architecture-mcp,get_c4_diagram,34,1
architecture-mcp,get_solution_blueprint,39,1
architecture-mcp,list_architecture_blueprints,66,2
architecture-mcp,list_artifacts,51,3
architecture-mcp,list_c4_diagrams,61,1
architecture-mcp,list_solution_blueprints,63,2
architecture-mcp,save_architecture_blueprint,74,5
architecture-mcp,save_artifact,75,5
architecture-mcp,save_solution_blueprint,81,5
architecture-mcp,set_c4_diagram,72,6
architecture-mcp,update_architecture_blueprint,69,5
architecture-mcp,update_solution_blueprint,77,4
audit-mcp,get_audit_gate_result,75,2
audit-mcp,get_audit_report,45,3
audit-mcp,get_audit_status,63,2
audit-mcp,get_compliance_checklist,72,3
audit-mcp,get_compliance_policy,49,1
audit-mcp,list_audits,38,4
audit-mcp,run_audit,52,4
audit-mcp,set_service_criticality,41,3
audit-mcp,submit_audit_approval,53,5
backend-mcp,delete_api_contract,54,2
backend-mcp,delete_artifact,44,1
backend-mcp,delete_auth_policy,46,1
backend-mcp,delete_code_review,44,1
backend-mcp,delete_database_schema,41,1
backend-mcp,get_api_contract,47,2
backend-mcp,get_artifact,37,1
backend-mcp,get_auth_policy,41,1
backend-mcp,get_code_review,37,1
backend-mcp,get_database_schema,34,1
backend-mcp,list_api_contracts,58,3
backend-mcp,list_artifacts,61,3
backend-mcp,list_auth_policies,59,2
